Frame,Name_Time (Seconds),0_X,0_Y,0_Z,1_X,1_Y,1_Z,2_X,2_Y,2_Z,3_X,3_Y,3_Z,4_X,4_Y,4_Z,5_X,5_Y,5_Z,6_X,6_Y,6_Z
67,0.558333,-54.230572,194.561905,582.961975,-34.915325,108.955048,513.472656,-53.345119,91.064644,497.599854,-39.615677,70.291145,486.930725,-56.299862,50.857647,479.272614,-43.200531,30.839413,472.289337,-59.510014,12.645682,466.582611
68,0.566667,-54.230759,194.562027,582.963135,-34.913128,108.95298,513.473389,-53.347282,91.06572,497.600677,-39.61541,70.290108,486.933716,-56.300964,50.857475,479.273071,-43.200859,30.843073,472.295685,-59.510227,12.645046,466.589355
69,0.575,-54.230701,194.562225,582.961975,-34.912254,108.95256,513.463745,-53.346062,91.066132,497.612396,-39.614815,70.291351,486.929199,-56.300446,50.857365,479.27417,-43.200897,30.840456,472.296082,-59.511158,12.642758,466.592529
70,0.583333,-54.230564,194.563751,582.964172,-34.912182,108.950592,513.457458,-53.344173,91.062576,497.599731,-39.61594,70.289284,486.924286,-56.301044,50.85651,479.275208,-43.201542,30.838608,472.295258,-59.513077,12.643696,466.582642
71,0.591667,-54.230873,194.563232,582.96582,-34.915226,108.955063,513.472656,-53.346008,91.063217,497.614532,-39.613884,70.286987,486.919128,-56.30127,50.858448,479.27948,-43.201416,30.837959,472.294098,-59.513348,12.648215,466.58847
72,0.6,-54.229053,194.560913,582.954834,-34.911873,108.951584,513.474304,-53.342899,91.06221,497.604706,-39.614365,70.286339,486.921143,-56.299667,50.859486,479.28009,-43.200333,30.842148,472.291412,-59.510906,12.650614,466.583618
73,0.608333,-54.229828,194.563889,582.964539,-34.914272,108.948776,513.460327,-53.346962,91.063164,497.603119,-39.613968,70.288345,486.935852,-56.300652,50.857761,479.27597,-43.202721,30.839474,472.294495,-59.511597,12.646974,466.589142
74,0.616667,-54.231457,194.565689,582.966858,-34.911289,108.951149,513.461243,-53.346699,91.062141,497.591827,-39.614029,70.291008,486.932861,-56.302052,50.859432,479.283875,-43.202431,30.841648,472.2966,-59.512756,12.64956,466.596039
75,0.625,-54.23,194.563477,582.955566,-34.914009,108.956657,513.47168,-53.346172,91.064255,497.59964,-39.616402,70.291336,486.927521,-56.301662,50.85799,479.282501,-43.200378,30.844452,472.29187,-59.5126,12.650862,466.592773
76,0.633333,-54.230446,194.564087,582.960571,-34.913685,108.955544,513.468933,-53.344517,91.063713,497.594269,-39.614647,70.2892,486.925201,-56.302402,50.855999,479.279755,-43.202957,30.841274,472.297241,-59.512577,12.645839,466.587128
77,0.641667,-54.229382,194.562943,582.960876,-34.911171,108.95166,513.462463,-53.344479,91.067108,497.60614,-39.615677,70.28846,486.926117,-56.301003,50.85812,479.276245,-43.199936,30.837217,472.285461,-59.512566,12.64491,466.578064
78,0.65,-54.230339,194.563385,582.965332,-34.911346,108.954033,513.463745,-53.343987,91.065865,497.596893,-39.616016,70.290993,486.932892,-56.300377,50.857723,479.283051,-43.202095,30.838287,472.29248,-59.511791,12.644858,466.595001
79,0.658333,-54.229954,194.561356,582.960266,-34.914566,108.955193,513.473877,-53.345055,91.0644,497.598114,-39.616417,70.290565,486.926239,-56.301773,50.857845,479.275299,-43.200748,30.838247,472.283051,-59.512157,12.646491,466.58432
80,0.666667,-54.231625,194.561493,582.957764,-34.91235,108.95919,513.466125,-53.345104,91.065964,497.596832,-39.615013,70.292679,486.929688,-56.302273,50.857601,479.275757,-43.200146,30.839643,472.289093,-59.511086,12.645384,466.591034
81,0.675,-54.230247,194.565903,582.962891,-34.912182,108.954247,513.462463,-53.344254,91.067795,497.60083,-39.614697,70.291397,486.926056,-56.301262,50.861286,479.275269,-43.201958,30.840727,472.292786,-59.512589,12.645884,466.584045
82,0.683333,-54.22961,194.56636,582.965698,-34.912075,108.955154,513.476501,-53.344395,91.064957,497.59436,-39.615856,70.290878,486.934021,-56.300243,50.857681,479.276428,-43.20126,30.843342,472.292847,-59.51194,12.646818,466.586792
83,0.691667,-54.23103,194.56366,582.966736,-34.914093,108.956573,513.473083,-53.345123,91.062988,497.598083,-39.614819,70.291283,486.923859,-56.300095,50.85783,479.274597,-43.201744,30.847017,472.299316,-59.512173,12.650434,466.584625
84,0.7,-54.231274,194.562271,582.967285,-34.912701,108.952652,513.473938,-53.341637,91.064667,497.601776,-39.614464,70.28952,486.93042,-56.29987,50.859486,479.275146,-43.201927,30.846579,472.289429,-59.511211,12.651845,466.586456
85,0.708333,-54.229885,194.560898,582.96106,-34.911572,108.949829,513.460266,-53.345821,91.060028,497.589691,-39.615551,70.287643,486.926117,-56.301697,50.855267,479.270691,-43.201336,30.841978,472.286011,-59.513996,12.649218,466.591675
86,0.716667,-54.231068,194.56282,582.95874,-34.912395,108.951736,513.471375,-53.344406,91.065331,497.60437,-39.614933,70.289345,486.923431,-56.300755,50.85833,479.27951,-43.199638,30.842255,472.287811,-59.511578,12.652651,466.584869
87,0.725,-54.230846,194.565399,582.960815,-34.910812,108.951599,513.453125,-53.347435,91.063759,497.594269,-39.615742,70.290588,486.929138,-56.301819,50.859707,479.282623,-43.199715,30.842108,472.289795,-59.510681,12.653103,466.587799
88,0.733333,-54.2327,194.566315,582.963562,-34.914494,108.955765,513.472229,-53.345356,91.064423,497.591736,-39.617241,70.290558,486.932159,-56.30027,50.85688,479.271545,-43.204174,30.843376,472.2948,-59.511414,12.649743,466.589478
89,0.741667,-54.230602,194.563614,582.960144,-34.912285,108.950859,513.472473,-53.346287,91.064003,497.604095,-39.614189,70.290367,486.922302,-56.301231,50.85931,479.282043,-43.199894,30.844591,472.292603,-59.511234,12.648775,466.584778
90,0.75,-54.23098,194.565216,582.968384,-34.913845,108.948502,513.468445,-53.34473,91.064293,497.599182,-39.615635,70.291489,486.929047,-56.301777,50.858219,479.276062,-43.201771,30.843218,472.292023,-59.509193,12.644723,466.588989
91,0.758333,-54.230316,194.563202,582.966492,-34.913788,108.954262,513.467163,-53.348545,91.066101,497.605896,-39.615086,70.29174,486.918762,-56.301746,50.860111,479.270233,-43.200676,30.840458,472.282196,-59.51289,12.645544,466.594238
92,0.766667,-54.231499,194.562057,582.95636,-34.913342,108.957222,513.464172,-53.344475,91.067291,497.599823,-39.614834,70.292381,486.930786,-56.301189,50.859367,479.274963,-43.201366,30.843929,472.287537,-59.511322,12.648956,466.584717
93,0.775,-54.231453,194.566406,582.966675,-34.912937,108.952415,513.455322,-53.346249,91.064499,497.58905,-39.616261,70.290581,486.924622,-56.302773,50.858768,479.281647,-43.20105,30.839916,472.293274,-59.512421,12.647993,466.590271
94,0.783333,-54.230774,194.561752,582.957642,-34.912476,108.954216,513.472229,-53.347908,91.066711,497.608826,-39.614929,70.28772,486.918762,-56.300156,50.857285,479.277161,-43.202824,30.839685,472.294312,-59.511116,12.647639,466.587097
95,0.791667,-54.229675,194.563492,582.966431,-34.912506,108.950882,513.460144,-53.344898,91.06266,497.593384,-39.613155,70.287292,486.917908,-56.301945,50.85928,479.280212,-43.201317,30.84284,472.295074,-59.511921,12.648429,466.586639
96,0.8,-54.231449,194.561081,582.962158,-34.911865,108.94989,513.458923,-53.34515,91.062767,497.606873,-39.616356,70.287987,486.921875,-56.303879,50.857029,479.278931,-43.201153,30.839592,472.289764,-59.513065,12.649663,466.587402
97,0.808333,-54.228214,194.563965,582.964783,-34.912354,108.950066,513.466492,-53.346436,91.064224,497.606995,-39.614891,70.288635,486.92276,-56.300198,50.858265,479.27243,-43.203388,30.843365,472.301086,-59.513363,12.650352,466.590729
98,0.816667,-54.228977,194.564499,582.96106,-34.912586,108.95192,513.46582,-53.346069,91.064537,497.607971,-39.613579,70.288795,486.921967,-56.301987,50.861961,479.27948,-43.203232,30.842789,472.294952,-59.513809,12.652501,466.58075
99,0.825,-54.230782,194.564209,582.960083,-34.913589,108.953201,513.454041,-53.344486,91.060356,497.601227,-39.615257,70.289795,486.931091,-56.30143,50.858318,479.27121,-43.202908,30.840788,472.288788,-59.5144,12.650871,466.585358
100,0.833333,-54.230804,194.563858,582.96283,-34.914543,108.952118,513.461853,-53.347881,91.067123,497.609467,-39.61462,70.291176,486.925476,-56.303211,50.858356,479.273834,-43.202686,30.842329,472.295654,-59.513454,12.649802,466.591797
101,0.841667,-54.229816,194.562897,582.960022,-34.910995,108.949615,513.456787,-53.345009,91.067719,497.603302,-39.614815,70.291275,486.928009,-56.300339,50.856735,479.273499,-43.201881,30.839039,472.296692,-59.509911,12.648928,466.586731
102,0.85,-54.230442,194.560837,582.952881,-34.913372,108.952209,513.467346,-53.34951,91.063797,497.610565,-39.616211,70.290657,486.931732,-56.302971,50.857414,479.279968,-43.201706,30.838697,472.292175,-59.512703,12.646255,466.585846
103,0.858333,-54.232487,194.566605,582.971008,-34.913479,108.955177,513.458984,-53.344646,91.062256,497.588806,-39.615616,70.290321,486.92923,-56.303703,50.859592,479.285156,-43.201706,30.839935,472.290009,-59.512859,12.6435,466.588165
104,0.866667,-54.232082,194.565643,582.967163,-34.910408,108.953018,513.451904,-53.348976,91.064789,497.605133,-39.615974,70.292908,486.935272,-56.300453,50.857353,479.280609,-43.202187,30.838989,472.29248,-59.51292,12.647014,466.59613
105,0.875,-54.22905,194.566483,582.964783,-34.912918,108.953613,513.46698,-53.347797,91.066925,497.607941,-39.616241,70.291298,486.93692,-56.301754,50.860207,479.275543,-43.20203,30.841,472.295502,-59.511181,12.645313,466.5867
