Format Version,1.24,Take Name,Take 2025-02-20 06.57.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-20 06.57.19.016 下午,Capture Start Frame,11113124,Total Frames in Take,6298,Total Exported Frames,6298,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.000679,-0.000401,-0.000147,1.000000,60.441956,118.464844,713.025024,48.605659,99.938568,707.625000,81.494736,126.989677,714.929260,51.225529,128.466217,716.520691,48.600277,99.937378,707.626160,81.501427,126.995277,714.932617,51.224998,128.464203,716.521851,55.804775,-65.112671,599.333557,58.514732,-26.975698,611.855408,61.242561,13.134770,630.716797,79.721916,31.235228,645.816223,72.107925,-46.551590,604.710205,75.204605,-7.180492,619.943909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.000609,-0.000248,-0.000163,1.000000,60.439697,118.465515,713.015198,48.601143,99.940392,707.616150,81.493332,126.989395,714.914185,51.224667,128.466690,716.515076,48.596458,99.938164,707.615540,81.500504,126.993256,714.915100,51.222172,128.465118,716.514709,55.788727,-65.215034,599.397156,58.502541,-27.028631,611.891235,61.242489,13.146919,630.727234,79.725754,31.245762,645.800110,72.097260,-46.657799,604.767273,75.201485,-7.199233,619.934937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.000648,-0.000202,-0.000139,1.000000,60.441914,118.469574,713.034119,48.603760,99.943451,707.637573,81.495316,126.994621,714.930481,51.226719,128.470581,716.533997,48.601513,99.941444,707.637024,81.502831,126.996193,714.930725,51.221432,128.471085,716.534424,55.793652,-65.343964,599.511169,58.517113,-27.088303,611.892639,61.256710,13.153742,630.734009,79.736763,31.247187,645.840820,72.107948,-46.786701,604.796326,75.214485,-7.233318,619.921509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.000783,-0.000589,-0.000165,1.000000,60.440498,118.468231,713.026611,48.605564,99.941254,707.625916,81.492867,126.992729,714.936890,51.223118,128.470657,716.516663,48.596909,99.937706,707.622253,81.502464,126.999374,714.938354,51.221111,128.466095,716.511414,55.854458,-65.494438,599.755920,58.588226,-27.174149,612.043091,61.284721,13.156744,630.724670,79.750595,31.245741,645.830627,72.138680,-46.927303,604.877563,75.248558,-7.280651,619.932556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.000802,-0.000447,-0.000221,1.000000,60.440437,118.466095,713.028015,48.601879,99.940247,707.631409,81.494301,126.988274,714.932068,51.225174,128.469711,716.520386,48.594120,99.937805,707.630859,81.504257,126.994896,714.933777,51.222988,128.465637,716.519226,55.898724,-65.636604,599.895325,58.631641,-27.249514,612.021729,61.318161,13.149751,630.746643,79.759491,31.238071,645.790161,72.201836,-47.055740,605.015503,75.284836,-7.331983,619.951660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.000398,-0.000214,-0.000160,1.000000,60.439816,118.464455,713.020020,48.601006,99.941536,707.613953,81.493530,126.987679,714.921204,51.224960,128.464096,716.524719,48.595303,99.934158,707.608826,81.500839,126.992508,714.921326,51.223019,128.466568,716.526001,55.942375,-65.753792,599.929504,58.676468,-27.324804,612.046509,61.342823,13.135549,630.758545,79.766182,31.231329,645.788269,72.247231,-47.157646,605.093567,75.319939,-7.389561,619.953186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.000816,-0.000566,-0.000210,1.000000,60.440620,118.465828,713.018555,48.603756,99.939575,707.619629,81.493851,126.988533,714.927368,51.224312,128.469315,716.508362,48.597424,99.938072,707.619995,81.502396,126.994835,714.930420,51.222347,128.465515,716.504028,56.005241,-65.870522,600.022766,58.700279,-27.401377,612.041321,61.344124,13.108144,630.728271,79.764458,31.227024,645.790466,72.288322,-47.246559,605.122986,75.322990,-7.439149,619.944702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.000313,-0.000499,-0.000187,1.000000,60.442394,118.465523,713.020691,48.605682,99.944153,707.604736,81.495476,126.987297,714.935303,51.226078,128.465073,716.521790,48.597225,99.934608,707.601746,81.505936,126.993912,714.936829,51.224049,128.467987,716.523315,56.044258,-65.971329,600.089905,58.693104,-27.473351,612.008667,61.324505,13.057272,630.708130,79.752762,31.208960,645.774353,72.314796,-47.336716,605.219727,75.316071,-7.492627,619.987915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.000796,-0.000499,-0.000242,1.000000,60.438202,118.465164,713.034241,48.599438,99.939880,707.636108,81.492233,126.986443,714.940613,51.222992,128.469116,716.525696,48.591324,99.941154,707.642273,81.503098,126.992973,714.942444,51.218399,128.461411,716.521729,56.061825,-66.066864,600.123840,58.703762,-27.549879,612.090027,61.295738,12.992455,630.694946,79.740273,31.191002,645.762024,72.330635,-47.402958,605.267578,75.295998,-7.546433,620.014526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.000892,0.000499,-0.000067,1.000000,60.433983,118.460976,713.005005,48.590912,99.930542,707.634155,81.488800,126.989944,714.867737,51.222282,128.462387,716.513000,48.597591,99.937096,707.636475,81.483124,126.984314,714.856873,51.219727,128.460312,716.510498,56.085533,-66.156143,600.226196,58.697803,-27.621407,612.144287,61.286739,12.927391,630.699707,79.729698,31.157633,645.762268,72.334251,-47.460018,605.336548,75.290062,-7.606172,620.052063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.000394,0.000734,0.000065,1.000000,60.432533,118.465744,713.015564,48.591839,99.937546,707.631775,81.485977,126.998428,714.876892,51.219841,128.461212,716.537842,48.595192,99.934547,707.630432,81.486290,126.994995,714.875671,51.216114,128.467697,716.540466,56.084164,-66.211113,600.311951,58.695633,-27.687178,612.192993,61.294113,12.854228,630.694458,79.731277,31.118710,645.746460,72.331230,-47.511982,605.393066,75.299232,-7.675498,620.069275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.000547,-0.000368,-0.000076,1.000000,60.440941,118.469055,713.025879,48.606926,99.942520,707.621704,81.492630,126.996399,714.930969,51.223324,128.468185,716.524780,48.598785,99.938774,707.620300,81.503464,127.003685,714.938171,51.223679,128.464462,716.518616,56.075317,-66.248756,600.411682,58.684826,-27.749290,612.242920,61.298630,12.788772,630.701111,79.730469,31.076172,645.708679,72.329079,-47.560783,605.426636,75.301407,-7.742573,620.076843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.000944,-0.000747,-0.000176,0.999999,60.440483,118.469398,713.022217,48.606842,99.940956,707.623779,81.492439,126.994041,714.936523,51.222229,128.473160,716.506165,48.597279,99.941658,707.624573,81.503853,127.002525,714.938965,51.220379,128.464066,716.503113,56.059662,-66.281258,600.479736,58.689785,-27.808468,612.349792,61.297188,12.720300,630.726929,79.731972,31.043127,645.760742,72.322891,-47.612850,605.518921,75.294632,-7.816292,620.098694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.000583,-0.000396,-0.000185,1.000000,60.441635,118.469131,713.034058,48.603886,99.944801,707.630493,81.495079,126.992020,714.939697,51.225998,128.470535,716.531677,48.597294,99.940826,707.629272,81.501465,126.997574,714.940979,51.226166,128.469009,716.531555,56.030003,-66.337143,600.615173,58.643097,-27.863161,612.352478,61.299400,12.657806,630.767151,79.731232,31.000177,645.811462,72.296547,-47.669838,605.620789,75.278114,-7.884885,620.130798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.000627,-0.000518,-0.000204,1.000000,60.440296,118.464729,713.031616,48.603123,99.940392,707.626831,81.493607,126.986954,714.941650,51.224201,128.466797,716.526123,48.596115,99.935837,707.625732,81.504288,126.992615,714.943176,51.220543,128.465759,716.525879,56.007256,-66.388443,600.697876,58.629551,-27.919523,612.437439,61.285221,12.595228,630.764954,79.727333,30.969912,645.776611,72.266876,-47.717869,605.667053,75.258499,-7.941704,620.164734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.001038,-0.000840,-0.000245,0.999999,60.440678,118.462234,713.029419,48.605503,99.934402,707.632324,81.493446,126.984344,714.946106,51.223141,128.467911,716.509827,48.597267,99.936180,707.634399,81.503815,126.992195,714.948669,51.221478,128.458664,716.505005,55.965828,-66.439400,600.744995,58.605270,-27.964050,612.468689,61.271114,12.550762,630.775574,79.726089,30.953314,645.758789,72.233383,-47.773315,605.764648,75.238350,-8.002725,620.159973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.000656,-0.000453,-0.000196,1.000000,60.440136,118.464035,713.020142,48.602570,99.939186,707.617920,81.493553,126.986710,714.927002,51.224327,128.466156,716.515320,48.596603,99.936081,707.615112,81.504120,126.991898,714.925354,51.219837,128.465866,716.517273,55.925636,-66.502197,600.895935,58.561100,-28.006300,612.484680,61.260956,12.509752,630.752930,79.720978,30.939171,645.779602,72.189232,-47.820484,605.883118,75.227348,-8.053022,620.192383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.000533,-0.000544,-0.000159,1.000000,60.439274,118.466400,713.016357,48.604073,99.941986,707.607422,81.491707,126.990181,714.929077,51.222084,128.466980,716.512268,48.595287,99.935974,707.605896,81.500793,126.997467,714.931152,51.221771,128.465759,716.511841,55.894196,-66.556427,601.010681,58.541481,-28.056858,612.538025,61.246716,12.463102,630.796753,79.718300,30.922033,645.794983,72.161118,-47.850788,605.990112,75.207703,-8.100775,620.288574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.000397,-0.000376,-0.000117,1.000000,60.439819,118.470329,713.034546,48.604343,99.946411,707.624634,81.492188,126.995338,714.942566,51.222973,128.469177,716.536316,48.597416,99.939392,707.625061,81.503990,127.000885,714.944702,51.218540,128.471542,716.540527,55.878994,-66.606384,601.125244,58.524399,-28.115898,612.595154,61.237591,12.404477,630.793884,79.710724,30.894018,645.767700,72.137642,-47.893066,606.122131,75.197929,-8.150603,620.313843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.000988,-0.000473,-0.000200,0.999999,60.439228,118.467278,713.036499,48.601727,99.938942,707.646118,81.492638,126.991051,714.938538,51.223366,128.471786,716.524597,48.595066,99.940536,707.650208,81.502380,126.995850,714.939087,51.220253,128.463806,716.520203,55.893986,-66.663391,601.224915,58.527073,-28.169455,612.680054,61.213383,12.343798,630.800537,79.703812,30.863451,645.768616,72.139038,-47.940121,606.173340,75.190628,-8.211190,620.367737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
