Format Version,1.24,Take Name,Take 2025-02-27 06.56.51 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-27 06.56.51.395 下午,Capture Start Frame,97609,Total Frames in Take,7724,Total Exported Frames,7724,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-0.000109,-0.000078,-0.000079,1.000000,15.286729,101.405838,463.848236,4.799181,83.849205,453.283630,34.102745,107.685295,475.334808,6.958262,112.682961,462.926208,4.798952,83.854546,453.288574,34.106548,107.684090,475.330597,6.954743,112.679840,462.923157,13.611875,-16.834213,407.545044,50.303471,7.085482,414.078522,5.631465,-91.866844,387.354340,34.472939,-53.371674,378.650848,30.100164,-92.269829,369.595306,50.110558,-34.863274,390.357178,11.273885,-53.427166,394.260162,45.887695,-75.607674,379.651215,36.822655,-11.004490,392.912872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.000252,-0.000760,-0.000005,1.000000,15.288339,101.414734,463.864746,4.817847,83.853516,453.290863,34.087719,107.700287,475.375183,6.959455,112.690346,462.928131,4.803027,83.853165,453.283020,34.107445,107.716400,475.394745,6.955269,112.678352,462.921936,13.611959,-16.855518,407.546417,50.307579,7.084932,414.087189,5.630754,-91.868263,387.345917,34.473209,-53.369095,378.638245,30.091719,-92.265465,369.584320,50.110626,-34.866905,390.355835,11.274639,-53.427284,394.261383,45.884533,-75.603241,379.645416,36.813812,-11.002841,392.894470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.000241,-0.000065,0.000129,1.000000,15.286180,101.413689,463.854309,4.805685,83.849907,453.294617,34.099857,107.704010,475.338745,6.952998,112.687103,462.929504,4.798831,83.849312,453.292145,34.104599,107.709473,475.336273,6.954250,112.681877,462.929779,13.613876,-16.856773,407.524109,50.302979,7.087801,414.077026,5.630260,-91.867287,387.356781,34.474873,-53.373100,378.649597,30.097170,-92.263763,369.590851,50.109249,-34.862938,390.352081,11.277355,-53.430237,394.274780,45.885143,-75.604469,379.637390,36.815441,-10.999925,392.888550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.000082,-0.000279,-0.000000,1.000000,15.285922,101.405251,463.837402,4.805418,83.847519,453.267639,34.096317,107.687073,475.331879,6.956037,112.681099,462.912659,4.802413,83.848961,453.266571,34.103500,107.688988,475.336304,6.951880,112.677803,462.909393,13.611903,-16.853455,407.531708,50.305824,7.084573,414.088287,5.628882,-91.863319,387.343506,34.468224,-53.371906,378.641022,30.097431,-92.262466,369.587830,50.108921,-34.862946,390.356354,11.273682,-53.428783,394.260773,45.886299,-75.602676,379.648651,36.812786,-11.000532,392.899048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.000143,-0.000729,-0.000020,1.000000,15.288447,101.407562,463.855103,4.816747,83.855011,453.268036,34.088741,107.683464,475.369293,6.959855,112.684166,462.927887,4.804199,83.850037,453.261627,34.107925,107.695145,475.386932,6.954267,112.680656,462.926849,13.614574,-16.853567,407.532532,50.301880,7.083210,414.076447,5.631583,-91.863892,387.343170,34.469776,-53.368633,378.633240,30.098814,-92.264603,369.593048,50.109882,-34.866985,390.360413,11.278644,-53.426754,394.262543,45.885174,-75.600632,379.645264,36.822884,-10.999771,392.908905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.000156,-0.000478,0.000064,1.000000,15.285104,101.404327,463.847351,4.811063,83.850288,453.265045,34.090111,107.683090,475.352295,6.954137,112.679543,462.924622,4.804311,83.846245,453.260315,34.095360,107.689003,475.356567,6.955628,112.677750,462.925018,13.612616,-16.855005,407.537415,50.300865,7.083683,414.073059,5.632914,-91.865616,387.348755,34.471989,-53.370331,378.641724,30.094751,-92.266403,369.583832,50.109413,-34.865582,390.368774,11.278822,-53.426556,394.278656,45.885181,-75.604050,379.646423,36.814365,-11.000233,392.899933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.000101,-0.000664,0.000016,1.000000,15.286755,101.404121,463.850586,4.814954,83.849937,453.266327,34.088081,107.682335,475.361847,6.957228,112.680046,462.923523,4.804130,83.843063,453.258759,34.102390,107.690620,475.371704,6.953840,112.678749,462.921204,13.613462,-16.834446,407.531281,50.301189,7.086498,414.068878,5.631823,-91.867386,387.349365,34.471714,-53.375114,378.657135,30.095755,-92.265289,369.592285,50.111290,-34.863811,390.363068,11.279036,-53.422867,394.258057,45.884880,-75.600845,379.646973,36.819374,-10.998747,392.898956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.000315,-0.000173,0.000124,1.000000,15.288027,101.405891,463.844086,4.809628,83.853958,453.262604,34.099297,107.683250,475.339569,6.955157,112.680405,462.930054,4.804951,83.850082,453.258667,34.104923,107.686401,475.338959,6.954189,112.681854,462.931549,13.610090,-16.851954,407.538239,50.308296,7.085228,414.091797,5.633457,-91.864052,387.351440,34.474232,-53.373333,378.660126,30.097307,-92.257843,369.583160,50.110111,-34.865532,390.359222,11.273632,-53.421661,394.257812,45.884075,-75.605263,379.644623,36.818054,-11.000216,392.897308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.000202,-0.000021,-0.000147,1.000000,15.284012,101.407906,463.851990,4.792889,83.850739,453.291840,34.102173,107.686943,475.335266,6.956976,112.685997,462.928802,4.793849,83.860390,453.299835,34.102833,107.684753,475.334106,6.953586,112.679237,462.924316,13.608987,-16.856083,407.537079,50.303951,7.085907,414.081116,5.630243,-91.863914,387.338409,34.475540,-53.370945,378.654877,30.097002,-92.263161,369.587219,50.113522,-34.865868,390.376007,11.272712,-53.425991,394.260956,45.884933,-75.602074,379.645691,36.819019,-11.001640,392.901489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.000218,-0.000133,0.000096,1.000000,15.287110,101.404495,463.838226,4.806870,83.851089,453.260986,34.099659,107.683037,475.330963,6.954799,112.679306,462.922638,4.804050,83.848770,453.253662,34.104153,107.686440,475.333893,6.954043,112.676987,462.921753,13.613426,-16.855688,407.532715,50.300728,7.083088,414.073120,5.628978,-91.867653,387.348145,34.473152,-53.371231,378.645477,30.095360,-92.264961,369.596436,50.109432,-34.864330,390.368988,11.272330,-53.419407,394.234131,45.885311,-75.602280,379.645538,36.817978,-11.000343,392.900909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
