timestamp,sensor_id,w,x,y,z
20:41:53.371634,2,1.0,0.05,-0.0,0.0
20:41:53.441972,2,1.0,0.04,0.0,0.0
20:41:53.573057,1,1.0,-0.05,-0.01,-0.03
20:41:53.642434,1,1.0,-0.04,-0.01,-0.03
20:41:53.711940,1,1.0,-0.03,-0.0,-0.04
20:41:53.781312,1,1.0,-0.03,-0.0,-0.04
20:41:53.851595,1,1.0,-0.01,0.0,-0.04
20:41:53.863492,2,1.0,-0.01,0.01,0.06
20:41:53.920731,1,1.0,-0.0,0.0,-0.04
20:41:53.933599,2,1.0,-0.01,0.01,0.07
20:41:54.002824,2,1.0,-0.02,0.01,0.07
20:41:54.072504,2,1.0,-0.02,0.01,0.07
20:41:54.141960,2,1.0,-0.03,0.01,0.07
20:41:54.211104,2,1.0,-0.04,0.01,0.07
20:41:54.281298,2,1.0,-0.04,0.01,0.0
20:41:54.412860,1,1.0,0.05,0.02,-0.05
20:41:54.482377,1,1.0,0.06,0.02,-0.05
20:41:54.551589,1,1.0,0.06,0.02,-0.05
20:41:54.621174,1,1.0,0.07,0.02,-0.05
20:41:54.691156,1,1.0,0.08,0.02,-0.05
20:41:54.760155,1,0.99,0.08,0.02,-0.05
20:41:54.772953,2,0.99,-0.06,0.02,0.08
20:41:54.830277,1,0.99,0.09,0.02,-0.0
20:41:54.842107,2,0.99,-0.06,0.02,0.09
20:41:54.912502,2,0.99,-0.07,0.02,0.09
20:41:54.982189,2,0.99,-0.07,0.02,0.09
20:41:55.051507,2,0.99,-0.08,0.02,0.09
20:41:55.121156,2,0.99,-0.08,0.02,0.09
20:41:55.190570,2,0.99,-0.08,0.02,0.09
20:41:55.252261,1,0.99,0.12,0.03,-0.06
20:41:55.259825,2,0.99,-0.09,0.02,0.0
20:41:55.321925,1,0.99,0.13,0.03,-0.06
20:41:55.391405,1,0.99,0.14,0.03,-0.06
20:41:55.461490,1,0.99,0.13,0.03,-0.06
20:41:55.530580,1,0.99,0.15,0.04,-0.06
20:41:55.599928,1,0.99,0.14,0.03,-0.06
20:41:55.751950,2,0.99,-0.1,0.03,0.1
20:41:55.821093,2,0.99,-0.11,0.03,0.1
20:41:55.891481,2,0.99,-0.11,0.03,0.1
20:41:55.960669,2,0.99,-0.11,0.03,0.1
20:41:56.030241,2,0.99,-0.12,0.03,0.1
20:41:56.092029,1,0.98,0.16,0.04,-0.06
20:41:56.099546,2,0.99,-0.12,0.03,0.1
20:41:56.161325,1,0.98,0.17,0.04,-0.06
20:41:56.169888,2,0.99,-0.12,0.03,0.1
20:41:56.231331,1,0.98,0.17,0.04,-0.06
